nct_id,last_update_posted_date,start_date,completion_date,primary_completion_date,official_title,overall_status,phase,enrollment,number_of_arms,designs,healthy_volunteers,name,country_count,facility_count
NCT01064687,26-Jan-15,28-Feb-10,31-May-12,30-Nov-11,"A Randomized, Placebo-Controlled Comparison of the Effects of Two Doses of LY2189265 or Exenatide on Glycemic Control in Patients With Type 2 Diabetes on Stable Doses of Metformin and Pioglitazone (AWARD-1: Assessment of Weekly Administration of LY2189265 in Diabetes-1)",Completed,Phase 3,978,4,Randomized,No,Eli Lilly and Company,5,89
NCT01075282,16-Jan-15,28-Feb-10,30-Nov-12,31-May-12,"A Randomized, Open-Label, Parallel-Arm, Noninferiority Comparison of the Effects of Two Doses of LY2189265 and Insulin Glargine on Glycemic Control in Patients With Type 2 Diabetes on Stable Doses of Metformin and Glimepiride",Completed,Phase 3,810,3,Randomized,No,Eli Lilly and Company,20,78
NCT01126580,16-Jan-15,31-May-10,30-Jun-12,30-Nov-11,The Impact of LY2189265 Versus Metformin on Glycemic Control in Early Type 2 Diabetes Mellitus (AWARD-3: Assessment of Weekly AdministRation of LY2189265 in Diabetes-3),Completed,Phase 3,807,3,Randomized,No,Eli Lilly and Company,19,91
NCT01191268,08-Oct-14,30-Nov-10,30-Sep-12,29-Feb-12,The Impact of LY2189265 Versus Insulin Glargine in Combination With Insulin Lispro for the Treatment to Target of Type 2 Diabetes Mellitus (AWARD-4: Assessment of Weekly AdministRation of LY2189265 in Diabetes - 4),Completed,Phase 3,884,3,Randomized,No,Eli Lilly and Company,17,101
NCT01885208,13-Jun-19,02-Dec-13,13-Jul-15,13-Jul-15,Efficacy and Safety of Semaglutide Once-weekly Versus Exenatide ER 2.0 mg Once-weekly as add-on to 1-2 Oral Antidiabetic Drugs (OADs) in Subjects With Type 2 Diabetes (SUSTAIN™ 3 - vs. QW GLP-1),Completed,Phase 3,813,2,Randomized,No,Novo Nordisk A/S,13,146
NCT01930188,13-Jun-19,02-Dec-13,12-Oct-15,12-Oct-15,Efficacy and Safety of Semaglutide Once-weekly Versus Sitagliptin Once-daily as add-on to Metformin and/or TZD in Subjects With Type 2 Diabetes (SUSTAIN™ 2 - vs. DPP-4 Inhibitor),Completed,Phase 3,1231,4,Randomized,No,Novo Nordisk A/S,19,141
NCT02054897,12-Jun-19,03-Feb-14,08-May-15,08-May-15,Efficacy and Safety of Semaglutide Once-weekly Versus Placebo in Drug-naïve Subjects With Type 2 Diabetes,Completed,Phase 3,388,4,Randomized,No,Novo Nordisk A/S,9,86
NCT02128932,13-Jun-19,04-Aug-14,03-Sep-15,03-Sep-15,Efficacy and Safety of Semaglutide Once Weekly Versus Insulin Glargine Once Daily as Add on to Metformin With or Without Sulphonylurea in Insulin-naïve Subjects With Type 2 Diabetes,Completed,Phase 3,1089,3,Randomized,No,Novo Nordisk A/S,16,231
NCT02607865,20-Jul-22,15-Feb-16,28-Mar-18,14-Feb-17,Efficacy and Long-term Safety of Oral Semaglutide Versus Sitagliptin in Subjects With Type 2 Diabetes,Completed,Phase 3,1864,4,Randomized,No,Novo Nordisk A/S,15,242
NCT02863328,20-Jul-22,10-Aug-16,08-Mar-18,01-Aug-17,Efficacy and Safety of Oral Semaglutide Versus Empagliflozin in Subjects With Type 2 Diabetes Mellitus,Completed,Phase 3,822,2,Randomized,No,Novo Nordisk A/S,12,106
NCT02863419,20-Jul-22,10-Aug-16,30-Mar-18,19-Aug-17,Efficacy and Safety of Oral Semaglutide Versus Liraglutide and Versus Placebo in Subjects With Type 2 Diabetes Mellitus,Completed,Phase 3,711,3,Randomized,No,Novo Nordisk A/S,14,108
NCT02906930,20-Jul-22,20-Sep-16,08-Dec-17,30-Oct-17,Efficacy and Safety of Oral Semaglutide Versus Placebo in Subjects With Type 2 Diabetes Mellitus Treated With Diet and Exercise Only.,Completed,Phase 3,703,4,Randomized,No,Novo Nordisk A/S,12,105
NCT03730662,14-Feb-22,20-Nov-18,22-Apr-21,22-Jan-21,Efficacy and Safety of LY3298176 Once Weekly Versus Insulin Glargine in Patients With Type 2 Diabetes and Increased Cardiovascular Risk (SURPASS-4),Completed,Phase 3,2002,4,Randomized,No,Eli Lilly and Company,15,216
NCT03882970,19-Jan-22,01-Apr-19,04-Jan-21,11-Dec-20,"A Randomized, Phase 3, Open-Label Trial Comparing the Effect of LY3298176 Versus Titrated Insulin Degludec on Glycemic Control in Patients With Type 2 Diabetes",Completed,Phase 3,1444,4,Randomized,No,Eli Lilly and Company,13,122
NCT03954834,20-Oct-21,03-Jun-19,28-Oct-20,05-Oct-20,"A Randomized, Double-blind, Placebo-Controlled Trial Comparing the Efficacy and Safety of Three Tirzepatide Doses Versus Placebo in Patients With Type 2 Diabetes, Inadequately Controlled With Diet and Exercise Alone",Completed,Phase 3,478,4,Randomized,No,Eli Lilly and Company,5,53
NCT03987919,14-Feb-22,30-Jul-19,15-Feb-21,28-Jan-21,"A Phase 3, Randomized, Open-Label Trial Comparing Efficacy and Safety of Tirzepatide Versus Semaglutide Once Weekly as Add-on Therapy to Metformin in Patients With Type 2 Diabetes",Completed,Phase 3,1879,4,Randomized,No,Eli Lilly and Company,9,127
NCT05259033,14-Dec-22,11-Apr-22,17-Feb-24,12-Jan-24,"A 52 Week Study Comparing the Efficacy and Safety of Once Weekly IcoSema and Once Weekly Semaglutide, Both Treatment Arms With or Without Oral Anti Diabetic Drugs, in Participants With Type 2 Diabetes Inadequately Controlled With a GLP 1 Receptor Agonist. COMBINE 2",Recruiting,Phase 3,680,2,Randomized,No,Novo Nordisk A/S,14,145
NCT05260021,12-Dec-22,13-Apr-22,31-Dec-27,30-Nov-27,"A Randomized, Double-Blind, Placebo-Controlled, Phase 3 Study With an Open-Label Extension Assessing the Efficacy, Safety, and Pharmacokinetics/Pharmacodynamics of Tirzepatide in Pediatric and Adolescent Participants With Type 2 Diabetes Mellitus Inadequately Controlled With Metformin, or Basal Insulin, or Both",Recruiting,Phase 3,90,3,Randomized,No,Eli Lilly and Company,11,54
NCT05433584,12-Dec-22,01-Aug-22,07-Jun-27,09-May-25,"A Randomized, Open-Label, Parallel-Group, Two-Arm, Phase 4 Study to Evaluate the Long-Term Efficacy and Safety of Tirzepatide Compared With Intensified Conventional Care in Adults When Initiating Treatment Early in the Course of Type 2 Diabetes",Recruiting,Phase 4,780,2,Randomized,No,Eli Lilly and Company,12,97
NCT05441267,10-Nov-22,31-Dec-22,17-Aug-48,17-Aug-28,A Study of Cardiovascular Events iN Diabetes Plus,Not yet recruiting,Phase 4,20000,2,Randomized,No,University of Oxford,0,0
